incluir_en_catalogo_final,bloque_tematico,subtema,nombre_capa,descripcion,tags,proveedor,tipo_acceso,url_endpoint,cobertura_geografica,cobertura_codigo,disponibilidad_municipal,campo_filtro,coste,requiere_registro,formato_datos,tematica_inspire,notas_limitaciones,capabilities,pts_tematica,pts_cobertura,pts_fuente,pts_tecnica,total_pts,prioridad_app,justificacion_prioridad,estado_revision,referencia,,,,,,,,
,Administración del territorio,Sistema de información urbana ,SIU_Servicios_OGC,,,MIVAUV,WMS,https://mapas.fomento.gob.es/arcgis/services/SIU/Servicios_OGC/MapServer/WMSServer,Nacional,,BBOX,,Gratuita,No,WMS,Land Use - LU,Visualización oficial del planeamiento urbanístico y ocupación del suelo. Esencial para contextualizar el desarrollo urbano municipal.,https://mapas.fomento.gob.es/arcgis/services/SIU/Servicios_OGC/MapServer/WMSServer?service=wms&request=getCapabilities,2,2,2,2,8,P0 - MVP,pendiente,pendiente,Sistema de Información Urbana | Ministerio de Vivienda y Agenda Urbana,,,,,,,,
si,Administración del territorio,catastro,Cartografia catastral,"Servicio oficial de Cartografía Catastral de España (Ministerio de Hacienda). Proporciona información geográfica vectorial y alfanumérica sobre la propiedad inmobiliaria, incluyendo la delimitación de parcelas, edificios, direcciones postales y divisiones administrativas. Es la fuente de verdad legal para la gestión tributaria y la identificación de inmuebles en todo el territorio nacional (excepto País Vasco y Navarra). Permite la visualización de la planta de edificios, números de policía y la cartografía base catastral","catastro, parcelas, referencia catastral, edificios, inmuebles, propiedad, urbanismo, rústica, direcciones,limites de propiedad, huella de edificio, manzanas, subparcelas,OVC, Dirección General del Catastro, Hacienda.",DIRECCION GENERAL DE CATASTRO,WMS,https://ovc.catastro.meh.es/Cartografia/WMS/ServidorWMS.aspx,Nacional ,,BBOX,,Gratuita,No,WMS,Land Use - LU,,http://www.idee.es/csw-inspire idee/srv/spa/csw?SERVICE=CSW&VERSION=2.0.2&REQUEST=GetRecordById&outputSchema= http://www.isotc211.org/2005/gmd&ElementSetName=full&ID=ES_SDGC_WMS,2,2,2,2,8,P0 - MVP,,Revisada,CARTOGRAFÍA CATASTRAL - INSPIRE,,,,,,,,
,Administración del territorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,Administración del territorio,Sistema de información urbana ,SIOSE y Corine ,,,MIVAUV,WFS,https://mapas.fomento.gob.es/arcgis/services/SIU/Servicios_OGC/MapServer/WFSServer,Nacional,,BBOX,,Gratuita,No,GML/XML/Geopackage/KML/GeoJson,Land Use - LU,Acceso vectorial a capas de planeamiento y áreas urbanas. Permite análisis espacial pero requiere gestión de BBOX por volumen de datos.,https://mapas.fomento.gob.es/arcgis/services/SIU/Servicios_OGC/MapServer/WFSServer?service=wfs&request=getCapabilities,2,2,2,1,7,P0 - MVP,pendiente,Revisada,Sistema de Información Urbana | Ministerio de Vivienda y Agenda Urbana,,,,,,,,
,Administración del territorio,Unidades administrativas,Unidades administrativas de España,,,IGN-CNIG,WFS,https://www.ign.es/wfs-inspire/unidades-administrativas,Nacional,,BBOX,,Gratuita,No,GML / XML; formatos adicionales según GetCapabilities,Administrative Units - AU,"Adecuado para descarga y consulta de límites administrativos; para análisis municipal se recomienda filtrar por identificador, nombre o bbox cuando el cliente lo permita",https://www.ign.es/wfs-inspire/unidades-administrativas?service=WFS&request=GetCapabilities,,,,,,,Fuente incompleta: sin organismo ni endpoint.,Pendiente,https://www.ign.es/wfs-inspire/unidades-administrativas | https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Administración del territorio,Unidades administrativas,Unidades administrativas de España,,,IGN / CNIG,WMS,https://www.ign.es/wms-inspire/unidades-administrativas,Nacional,,BBOX,,Gratuita,No,Imagen WMS; datos vectoriales en WFS/API Features asociados,Administrative Units - AU,"Fuente clave para obtener o visualizar límites administrativos. Para extraer geometría municipal se recomienda usar WFS u OGC API Features asociado, no solo WMS.",https://www.ign.es/wms-inspire/unidades-administrativas?request=GetCapabilities&service=WMS,,,,,,,Duplicada e incompleta.,Pendiente,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Agricultura,Parcelario agrícola PAC,Servicio WMS en la Nube SIGPAC,,,FEGA - MAPA,WMS,https://sigpac-hubcloud.es/wms,Nacional,,BBOX,,Gratuita,No,WMS,Land Use - LU / Area Management/Restriction/Regulation Zones - AM,"Permite visualizar las capas de recintos  elementos del paisaje y líneas de declaración; tres capas catalogadas como conjuntos de datos de alto valor (HVD) por el Reglamento (UE) 2023/138. Operación GetFeatureInfo permite consultar propiedades del recinto en HTML o JSON. Imprescindible para análisis municipal del parcelario agrícola y usos PAC.	",https://sigpac-hubcloud.es/wms?request=GetCapabilities&service=WMS,2,2,2,2,8,P0 - MVP,Fuente esencial para parcelario agrícola y usos PAC.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
,Agricultura,Grupos de acción ,Grupos de Acción Local (GAL),,,MAPAMA ,WMS,https://wms.mapama.gob.es/sig/DesarrolloRural/GruposAccionLocal,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Conjunto de datos de los Grupos de Acción Local (GAL) o Grupos de Desarrollo Rural (GDR) impulsores del desarrollo del programa y del desarrollo socioeconómico de sus comarcas. Útil municipal para identificar pertenencia a GAL/GDR (LEADER/FEADER) y oportunidades de financiación.,https://wms.mapama.gob.es/sig/DesarrolloRural/GruposAccionLocal?request=GetCapabilities&service=WMS,1,2,2,1,6,P1 - Alta,Muy útil para desarrollo rural y financiación LEADER.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Industria agroalimentaria,Industria Agroalimentaria,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/IndustriasAgroalimentarias,Nacional,,BBOX,,Gratuita,No,WMS,Production and Industrial Facilities - PF,Visualización y consulta de la localización de industrias agroalimentarias a nivel nacional. Útil municipal para inventariar tejido industrial agroalimentario. Limitación: posible desactualización de localizaciones.,https://wms.mapama.gob.es/sig/Alimentacion/IndustriasAgroalimentarias?request=GetCapabilities&service=WMS,1,2,2,1,6,P1 - Alta,Inventario sectorial con valor municipal.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Información agroclimática,Estaciones agroclimáticas (SIAR),,,MAPA,WMS,https://wms.mapama.gob.es/sig/DesarrolloRural/InfoAgroclimatica/Estaciones,Nacional,,BBOX,,Gratuita,No,WMS,Environmental Monitoring Facilities - EF,Visualización de la red de estaciones agroclimáticas del SIAR (Sistema de Información Agroclimática para el Regadío). Útil municipal como referencia para datos meteorológicos y de riego en zonas agrícolas. Limitación: dependerá de la cercanía de estaciones al municipio.,https://wms.mapama.gob.es/sig/DesarrolloRural/InfoAgroclimatica/Estaciones?request=GetCapabilities&service=WMS,1,2,2,1,6,P1 - Alta,Referencia agroclimática; valor depende de cercanía a estación.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
